team_id,map_name,side,pistol_wins,first_half_pistol_wins,second_half_pistol_wins
81,split,attacker,6,6,0
81,bind,attacker,4,0,3
3412,bind,defender,4,2,2
48457,icebox,defender,5,2,3
1611,ascent,attacker,5,2,2
97,breeze,defender,2,2,0
99,icebox,attacker,4,1,2
1611,breeze,defender,1,1,0
3412,icebox,attacker,4,2,2
281,fracture,defender,1,1,0
79,fracture,defender,1,0,1
3412,fracture,attacker,1,1,0
1611,haven,defender,9,4,2
1611,abyss,defender,1,1,0
81,ascent,defender,3,1,2
337,split,defender,5,4,0
3412,split,attacker,3,1,1
96,abyss,attacker,2,1,1
96,ascent,attacker,11,8,0
1611,lotus,defender,6,2,4
96,bind,defender,4,3,1
337,breeze,attacker,1,0,1
1079,icebox,attacker,3,1,2
79,split,attacker,2,0,2
281,split,defender,2,1,1
97,lotus,attacker,4,1,2
81,corrode,defender,1,1,0
97,haven,attacker,1,0,1
79,bind,defender,5,4,1
96,breeze,attacker,3,2,1
48457,haven,defender,7,2,5
337,pearl,defender,1,0,1
96,lotus,attacker,10,1,9
81,abyss,defender,1,1,0
81,pearl,attacker,4,2,1
48457,lotus,attacker,5,3,2
81,sunset,defender,2,0,2
281,lotus,defender,5,2,2
281,sunset,defender,3,2,1
81,icebox,attacker,7,5,2
48457,split,defender,1,1,0
1079,haven,defender,1,0,1
97,fracture,defender,1,0,1
337,icebox,attacker,3,1,2
3412,sunset,attacker,3,2,1
99,sunset,defender,1,1,0
,haven,,1,0,1
81,lotus,defender,8,3,3
99,split,defender,2,1,1
1079,split,defender,7,5,2
3412,ascent,defender,3,1,2
1611,icebox,defender,6,4,2
96,sunset,defender,3,2,1
337,bind,defender,9,5,4
99,haven,attacker,4,1,1
79,abyss,defender,2,1,1
96,icebox,attacker,7,1,6
48457,sunset,defender,2,1,1
337,haven,defender,5,2,2
3412,pearl,attacker,1,0,1
79,pearl,defender,2,2,0
99,bind,defender,2,1,1
48457,corrode,attacker,1,1,0
96,split,attacker,5,3,2
1079,bind,defender,1,0,1
96,pearl,defender,2,1,1
96,haven,defender,7,4,3
1611,sunset,defender,5,4,1
281,bind,attacker,1,0,1
79,corrode,defender,1,0,1
96,corrode,attacker,2,1,1
1611,bind,attacker,6,2,3
281,pearl,defender,1,1,0
1079,pearl,attacker,7,4,2
337,ascent,attacker,2,1,1
281,icebox,attacker,4,1,1
48457,fracture,defender,1,0,1
97,pearl,defender,1,0,1
1611,pearl,attacker,1,0,1
79,haven,defender,3,1,2
3412,corrode,attacker,1,0,1
99,breeze,defender,3,0,3
97,ascent,attacker,4,3,0
81,breeze,defender,1,0,1
53367,haven,defender,2,2,0
3412,haven,defender,3,3,0
1611,split,defender,2,1,1
48457,ascent,attacker,5,1,4
79,ascent,defender,6,1,1
79,icebox,defender,5,4,1
3412,lotus,attacker,5,0,5
337,fracture,defender,2,2,0
281,haven,attacker,1,0,1
97,icebox,defender,2,0,2
48457,abyss,defender,1,0,1
1611,corrode,defender,1,1,0
97,bind,attacker,2,2,0
48457,bind,attacker,1,0,1
3412,ascent,attacker,3,2,1
337,bind,attacker,10,7,3
1079,split,attacker,5,3,2
81,lotus,attacker,5,1,3
96,icebox,defender,7,5,2
1611,icebox,attacker,10,4,5
96,sunset,attacker,2,1,1
79,pearl,attacker,4,0,4
3412,pearl,defender,1,1,0
99,split,attacker,1,0,1
337,haven,attacker,2,1,1
48457,sunset,attacker,3,2,1
99,haven,defender,1,1,0
79,bind,attacker,2,0,2
337,icebox,defender,5,3,2
337,lotus,attacker,4,3,0
97,fracture,attacker,5,3,1
96,lotus,defender,12,8,2
81,abyss,attacker,2,0,2
81,pearl,defender,7,0,0
48457,lotus,defender,4,1,3
96,breeze,defender,2,1,1
281,lotus,attacker,5,3,2
281,sunset,attacker,3,2,1
81,icebox,defender,4,3,1
337,pearl,attacker,1,0,1
48457,haven,attacker,4,3,1
48457,split,attacker,2,0,2
1079,haven,attacker,2,1,1
3412,sunset,defender,3,1,2
97,corrode,attacker,1,0,1
99,sunset,attacker,1,1,0
81,ascent,attacker,3,2,1
3412,split,defender,4,2,2
337,split,attacker,4,0,4
97,lotus,defender,4,1,3
96,abyss,defender,3,3,0
96,bind,attacker,5,1,4
1611,lotus,attacker,16,7,2
96,ascent,defender,9,1,8
1079,icebox,defender,3,2,1
79,split,defender,3,2,1
97,haven,defender,5,3,2
99,fracture,attacker,1,0,1
53367,sunset,attacker,1,0,1
81,corrode,attacker,1,0,1
99,ascent,attacker,1,0,1
81,split,defender,8,2,6
81,bind,defender,4,2,1
79,fracture,attacker,3,1,1
1611,haven,attacker,5,3,2
3412,bind,attacker,2,1,1
3412,icebox,defender,3,2,1
48457,icebox,attacker,8,2,6
1611,ascent,defender,4,2,2
97,breeze,attacker,2,0,2
3412,fracture,defender,1,0,1
1611,abyss,attacker,1,0,1
79,sunset,attacker,2,1,1
97,sunset,attacker,3,2,1
1079,lotus,defender,5,2,2
1079,sunset,defender,1,0,1
99,lotus,attacker,5,2,3
1079,abyss,defender,1,0,1
96,fracture,attacker,2,1,1
337,sunset,attacker,2,0,2
48457,breeze,attacker,1,0,1
1079,ascent,attacker,2,0,2
81,haven,defender,4,1,3
79,lotus,attacker,6,2,0
53367,ascent,defender,2,2,0
281,pearl,attacker,3,1,1
1079,pearl,defender,3,3,0
337,ascent,defender,4,3,1
1611,bind,defender,3,3,0
281,icebox,defender,1,0,1
97,pearl,attacker,1,1,0
1611,pearl,defender,1,1,0
79,haven,attacker,2,2,0
3412,corrode,defender,1,1,0
79,lotus,defender,7,5,2
1079,lotus,attacker,6,2,3
99,lotus,defender,4,2,2
1079,abyss,attacker,1,0,1
96,fracture,defender,2,1,1
337,sunset,defender,2,2,0
97,sunset,defender,4,1,3
79,sunset,defender,3,1,1
48457,breeze,defender,1,1,0
1079,ascent,defender,1,1,0
81,haven,attacker,1,0,1
53367,ascent,attacker,1,0,1
1079,sunset,attacker,1,0,1
337,corrode,attacker,1,0,1
1079,bind,attacker,2,1,1
96,split,defender,5,1,4
96,pearl,attacker,10,2,5
96,haven,attacker,5,1,3
1611,sunset,attacker,10,3,6
281,bind,defender,1,0,1
79,corrode,attacker,1,0,1
99,breeze,attacker,3,3,0
81,breeze,attacker,1,1,0
97,ascent,defender,3,1,2
1079,breeze,attacker,1,0,1
53367,haven,attacker,1,0,1
1611,split,attacker,1,1,0
48457,bind,defender,2,1,1
48457,abyss,attacker,1,1,0
79,ascent,attacker,3,1,2
48457,ascent,defender,6,2,2
79,icebox,attacker,4,1,3
97,split,defender,2,0,2
3412,lotus,defender,3,3,0
97,bind,defender,3,0,3
337,fracture,attacker,1,0,1
97,icebox,attacker,3,3,0
1611,fracture,defender,1,0,0
3412,haven,attacker,1,0,1
1079,corrode,attacker,2,2,0
